[2022-12-23 18:13:29,098] INFO  [root.city_data:113] Завершили расчёт средних значений по дням для города ABUDHABI
[2022-12-23 18:13:29,098] INFO  [root.city_data:116] Начинаем расчёт средних значений за все дни для города ABUDHABI
[2022-12-23 18:13:29,099] INFO  [root.city_data:122] Завершили расчёт средних значений за все дни для города ABUDHABI.avg_temp = 32.8, avg_dry = 6.0
[2022-12-23 18:13:29,099] INFO  [root.city_data:108] Начинаем расчёт для города WARSZAWA
[2022-12-23 18:13:29,099] INFO  [root.city_data:109] Начинаем расчёт средних значений по дням для города WARSZAWA
[2022-12-23 18:13:29,099] INFO  [root.city_data:113] Завершили расчёт средних значений по дням для города WARSZAWA
[2022-12-23 18:13:29,099] INFO  [root.city_data:116] Начинаем расчёт средних значений за все дни для города WARSZAWA
[2022-12-23 18:13:29,099] INFO  [root.city_data:122] Завершили расчёт средних значений за все дни для города WARSZAWA.avg_temp = 16.4, avg_dry = 2.9
[2022-12-23 18:13:29,100] INFO  [root.city_data:108] Начинаем расчёт для города BUCHAREST
[2022-12-23 18:13:29,100] INFO  [root.city_data:109] Начинаем расчёт средних значений по дням для города BUCHAREST
[2022-12-23 18:13:29,100] INFO  [root.city_data:113] Завершили расчёт средних значений по дням для города BUCHAREST
[2022-12-23 18:13:29,100] INFO  [root.city_data:116] Начинаем расчёт средних значений за все дни для города BUCHAREST
[2022-12-23 18:13:29,100] INFO  [root.city_data:122] Завершили расчёт средних значений за все дни для города BUCHAREST.avg_temp = 22.0, avg_dry = 5.5
[2022-12-23 18:13:29,100] INFO  [root.city_data:108] Начинаем расчёт для города ROMA
[2022-12-23 18:13:29,100] INFO  [root.city_data:109] Начинаем расчёт средних значений по дням для города ROMA
[2022-12-23 18:13:29,101] INFO  [root.city_data:113] Завершили расчёт средних значений по дням для города ROMA
[2022-12-23 18:13:29,101] INFO  [root.city_data:116] Начинаем расчёт средних значений за все дни для города ROMA
[2022-12-23 18:13:29,101] INFO  [root.city_data:122] Завершили расчёт средних значений за все дни для города ROMA.avg_temp = 26.4, avg_dry = 10.3
[2022-12-23 18:13:29,101] INFO  [root.city_data:108] Начинаем расчёт для города CAIRO
[2022-12-23 18:13:29,101] INFO  [root.city_data:109] Начинаем расчёт средних значений по дням для города CAIRO
[2022-12-23 18:13:29,102] INFO  [root.city_data:113] Завершили расчёт средних значений по дням для города CAIRO
[2022-12-23 18:13:29,102] INFO  [root.city_data:116] Начинаем расчёт средних значений за все дни для города CAIRO
[2022-12-23 18:13:29,102] INFO  [root.city_data:122] Завершили расчёт средних значений за все дни для города CAIRO.avg_temp = 32.9, avg_dry = 10.9
[2022-12-23 18:13:29,104] INFO  [root.forecast_weather:44] Расчёт средних значений для всех городов завершён
[2022-12-23 18:13:29,104] INFO  [root.forecast_weather:46] Сохраняем данные в файл
[2022-12-23 18:13:29,104] INFO  [root.forecast_weather:49] Сохранение данных в файл завершено
[2022-12-23 18:13:29,105] INFO  [root.forecast_weather:52] Начинаем определение лучшего города
[2022-12-23 18:13:29,105] INFO  [root.run:174] Проверяем город MOSCOW: temp=12.9, dry=1.4
[2022-12-23 18:13:29,105] INFO  [root.compare:197] Пока лучший город MOSCOW: temp=12.9, dry=1.4
[2022-12-23 18:13:29,105] INFO  [root.run:178] Завершили проверку города MOSCOW: temp=12.9, dry=1.4
[2022-12-23 18:13:29,105] INFO  [root.run:174] Проверяем город PARIS: temp=16.7, dry=9.5
[2022-12-23 18:13:29,105] INFO  [root.compare:197] Пока лучший город PARIS: temp=16.7, dry=9.5
[2022-12-23 18:13:29,105] INFO  [root.run:178] Завершили проверку города PARIS: temp=16.7, dry=9.5
[2022-12-23 18:13:29,105] INFO  [root.run:174] Проверяем город LONDON: temp=15.6, dry=10.8
[2022-12-23 18:13:29,106] INFO  [root.compare:197] Пока лучший город PARIS: temp=16.7, dry=9.5
[2022-12-23 18:13:29,106] INFO  [root.run:178] Завершили проверку города LONDON: temp=15.6, dry=10.8
[2022-12-23 18:13:29,106] INFO  [root.run:174] Проверяем город BERLIN: temp=15.2, dry=4.0
[2022-12-23 18:13:29,106] INFO  [root.compare:197] Пока лучший город PARIS: temp=16.7, dry=9.5
[2022-12-23 18:13:29,106] INFO  [root.run:178] Завершили проверку города BERLIN: temp=15.2, dry=4.0
[2022-12-23 18:13:29,106] INFO  [root.run:174] Проверяем город BEIJING: temp=29.6, dry=8.1
[2022-12-23 18:13:29,106] INFO  [root.compare:197] Пока лучший город BEIJING: temp=29.6, dry=8.1
[2022-12-23 18:13:29,106] INFO  [root.run:178] Завершили проверку города BEIJING: temp=29.6, dry=8.1
[2022-12-23 18:13:29,106] INFO  [root.run:174] Проверяем город KAZAN: temp=15.0, dry=2.1
[2022-12-23 18:13:29,106] INFO  [root.compare:197] Пока лучший город BEIJING: temp=29.6, dry=8.1
[2022-12-23 18:13:29,106] INFO  [root.run:178] Завершили проверку города KAZAN: temp=15.0, dry=2.1
[2022-12-23 18:13:29,106] INFO  [root.run:174] Проверяем город SPETERSBURG: temp=12.1, dry=0.8
[2022-12-23 18:13:29,107] INFO  [root.compare:197] Пока лучший город BEIJING: temp=29.6, dry=8.1
[2022-12-23 18:13:29,107] INFO  [root.run:178] Завершили проверку города SPETERSBURG: temp=12.1, dry=0.8
[2022-12-23 18:13:29,107] INFO  [root.run:174] Проверяем город VOLGOGRAD: temp=23.8, dry=5.4
[2022-12-23 18:13:29,107] INFO  [root.compare:197] Пока лучший город BEIJING: temp=29.6, dry=8.1
[2022-12-23 18:13:29,107] INFO  [root.run:178] Завершили проверку города VOLGOGRAD: temp=23.8, dry=5.4
[2022-12-23 18:13:29,107] INFO  [root.run:174] Проверяем город NOVOSIBIRSK: temp=22.8, dry=7.6
[2022-12-23 18:13:29,107] INFO  [root.compare:197] Пока лучший город BEIJING: temp=29.6, dry=8.1
[2022-12-23 18:13:29,107] INFO  [root.run:178] Завершили проверку города NOVOSIBIRSK: temp=22.8, dry=7.6
[2022-12-23 18:13:29,107] INFO  [root.run:174] Проверяем город KALININGRAD: temp=13.8, dry=3.1
[2022-12-23 18:13:29,107] INFO  [root.compare:197] Пока лучший город BEIJING: temp=29.6, dry=8.1
[2022-12-23 18:13:29,107] INFO  [root.run:178] Завершили проверку города KALININGRAD: temp=13.8, dry=3.1
[2022-12-23 18:13:29,107] INFO  [root.run:174] Проверяем город ABUDHABI: temp=32.8, dry=6.0
[2022-12-23 18:13:29,107] INFO  [root.compare:197] Пока лучший город ABUDHABI: temp=32.8, dry=6.0
[2022-12-23 18:13:29,107] INFO  [root.run:178] Завершили проверку города ABUDHABI: temp=32.8, dry=6.0
[2022-12-23 18:13:29,108] INFO  [root.run:174] Проверяем город WARSZAWA: temp=16.4, dry=2.9
[2022-12-23 18:13:29,108] INFO  [root.compare:197] Пока лучший город ABUDHABI: temp=32.8, dry=6.0
[2022-12-23 18:13:29,108] INFO  [root.run:178] Завершили проверку города WARSZAWA: temp=16.4, dry=2.9
[2022-12-23 18:13:29,108] INFO  [root.run:174] Проверяем город BUCHAREST: temp=22.0, dry=5.5
[2022-12-23 18:13:29,108] INFO  [root.compare:197] Пока лучший город ABUDHABI: temp=32.8, dry=6.0
[2022-12-23 18:13:29,108] INFO  [root.run:178] Завершили проверку города BUCHAREST: temp=22.0, dry=5.5
[2022-12-23 18:13:29,108] INFO  [root.run:174] Проверяем город ROMA: temp=26.4, dry=10.3
[2022-12-23 18:13:29,108] INFO  [root.compare:197] Пока лучший город ABUDHABI: temp=32.8, dry=6.0
[2022-12-23 18:13:29,108] INFO  [root.run:178] Завершили проверку города ROMA: temp=26.4, dry=10.3
[2022-12-23 18:13:29,108] INFO  [root.run:174] Проверяем город CAIRO: temp=32.9, dry=10.9
[2022-12-23 18:13:29,108] INFO  [root.compare:197] Пока лучший город CAIRO: temp=32.9, dry=10.9
[2022-12-23 18:13:29,108] INFO  [root.run:178] Завершили проверку города CAIRO: temp=32.9, dry=10.9
[2022-12-23 18:13:29,108] INFO  [root.forecast_weather:54] Определение лучшего города завершено
[2022-12-23 18:13:29,109] INFO  [root.<module>:70] ### ЗАВЕРШЕНИЕ РАБОТЫ ПРИЛОЖЕНИЯ ###
